Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,19000000
Afghanistan,AFG,Net migration,SM.POP.NETM,-299999
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.49078956147291
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,54.4222053732806
Albania,ALB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2049000000
Albania,ALB,Net migration,SM.POP.NETM,-40000
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.0919722937442495
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.870693430657
Algeria,DZA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,172000000
Algeria,DZA,Net migration,SM.POP.NETM,-50002
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.73845575841731
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.3478809609781
American Samoa,ASM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,22000000
American Samoa,ASM,Net migration,SM.POP.NETM,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,0.0755124091976669
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,278.205
Andorra,AND,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Andorra,AND,Net migration,SM.POP.NETM,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,-0.409735671709634
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.755319148936
Angola,AGO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,884000000
Angola,AGO,Net migration,SM.POP.NETM,0
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.31350733468527
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,23.8904251223229
Antigua and Barbuda,ATG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,774000000
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,-56
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.0336340333283
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,231.845454545455
Argentina,ARG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,5514000000
Argentina,ARG,Net migration,SM.POP.NETM,24002
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.96146530564866
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.1768563483624
Armenia,ARM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1140000000
Armenia,ARM,Net migration,SM.POP.NETM,-24989
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.192442213171759
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,102.931155602388
